#,CPU,Type,Performance,Cores / threads,Year,TDP,Brand
1,Intel Xeon 6960P,server,74.09,72 / 144,2024,500 W,Intel
891,Intel Core i5-10300H,notebook,4.66,4 / 8,2020,45 W,Intel
892,Intel Core i5-1145GRE,notebook,4.65,4 / 8,2020,28 W,Intel
893,Intel Core i7-3930K,desktop,4.65,6 / 12,2011,130 W,Intel
894,Intel Core i5-9400T,desktop,4.64,6 / 6,2018,35 W,Intel
895,Intel Xeon D-1712TR,server,4.62,4 / 8,2022,40 W,Intel
896,Intel Core i7-1065G7,notebook,4.62,4 / 8,2019,25 W,Intel
897,Intel Core i7-8569U,notebook,4.61,4 / 8,2019,28 W,Intel
898,Intel Xeon E3-1230 v6,server,4.60,4 / 8,2017,72 W,Intel
899,Intel Xeon X7560,server,4.60,,2010,130 W,Intel
900,Intel Core i5-9500T,desktop,4.59,6 / 6,2018,35 W,Intel
901,Intel Xeon E3-1285L v4,server,4.59,4 / 8,2015,65 W,Intel
902,Intel Xeon E3-1535M v6,mobile workstation,4.58,4 / 8,2017,1 W,Intel
903,Intel Xeon E5-2660,server,4.57,8 / 16,2012,95 W,Intel
904,Intel Core i7-4790K,desktop,4.57,4 / 8,2014,88 W,Intel
905,Intel Xeon E5-1650,server,4.57,6 / 12,2012,130 W,Intel
906,Intel Core i7-6700,desktop,4.56,4 / 8,2015,65 W,Intel
907,Intel Xeon E3-1245 v5,server,4.55,4 / 8,2015,80 W,Intel
908,Intel Xeon D-1559,server,4.55,12 / 24,−,45 W,Intel
909,Intel Core i5-1035G7,notebook,4.54,4 / 8,2019,25 W,Intel
910,Intel Xeon E3-1230 V5,server,4.54,4 / 8,2015,80 W,Intel
911,Intel Core i5-10200H,notebook,4.53,4 / 8,2020,45 W,Intel
912,Intel Xeon D-2712T,server,4.53,4 / 8,2022,65 W,Intel
913,Intel Core i7-10810U,notebook,4.52,6 / 12,2020,25 W,Intel
914,Intel Xeon E3-1585L v5,server,4.51,4 / 8,2016,45 W,Intel
915,Intel Core i7-8709G,notebook,4.50,4 / 8,2018,65 W,Intel
916,Intel Core i7-9850HL,notebook,4.48,6 / 12,2019,25 W,Intel
917,Intel Xeon E3-1286 v3,server,4.47,4 / 8,2014,84 W,Intel
918,Intel Core i3-10300T,desktop,4.47,4 / 8,2020,35 W,Intel
919,Intel Xeon X7550,server,4.46,,2010,130 W,Intel
920,Intel Core i5-8259U,notebook,4.45,4 / 8,2018,28 W,Intel
921,Intel Xeon X7350,server,4.44,6 / 6,2007,130 W,Intel
922,Intel Core i3-10105T,desktop,4.43,4 / 8,2021,35 W,Intel
923,Intel Core i5-9400H,notebook,4.42,4 / 8,2019,1 W,Intel
924,Intel Core i7-1180G7,notebook,4.42,4 / 8,2021,9 W,Intel
925,Intel Xeon E-2314,server,4.41,4 / 4,2021,65 W,Intel
926,Intel Xeon E3-1285 v4,server,4.39,4 / 8,2015,95 W,Intel
927,Intel Xeon E5-2620 v3,server,4.39,6 / 12,2014,85 W,Intel
928,Intel Xeon D-1813NT,server,4.38,4 / 8,2023,42 W,Intel
929,Intel Core i5-8500T,desktop,4.38,6 / 6,2018,35 W,Intel
930,Intel Xeon E3-1575M v5,mobile workstation,4.38,4 / 8,2016,45 W,Intel
931,Intel Core i7-5775C,desktop,4.36,4 / 8,2015,65 W,Intel
932,Intel Xeon D-1531,server,4.35,6 / 12,2015,35 W,Intel
933,Intel Core i7-5950HQ,desktop,4.35,4 / 8,2015,47 W,Intel
934,Intel Xeon E3-1270L v4,server,4.34,4 / 8,2015,45 W,Intel
935,Intel Core i5-1035G4,notebook,4.34,4 / 8,2019,15 W,Intel
936,Intel Xeon E3-1545M v5,mobile workstation,4.33,4 / 8,2016,45 W,Intel
937,Intel Core i7-8705G,notebook,4.33,4 / 8,2018,65 W,Intel
938,Intel Xeon E5-2640 v2,server,4.32,8 / 16,2013,95 W,Intel
939,Intel Xeon E5-2650L v2,server,4.32,10 / 20,2013,70 W,Intel
940,Intel Core i3-9350KF,desktop,4.31,4 / 4,2019,91 W,Intel
941,Intel Core i7-5775R,desktop,4.31,4 / 8,2015,65 W,Intel
942,Intel Core i3-9350K,desktop,4.31,4 / 4,2019,91 W,Intel
943,Intel Xeon E3-1281 v3,server,4.30,4 / 8,2014,82 W,Intel
944,Intel Xeon D-1539,server,4.29,8 / 16,−,35 W,Intel
945,Intel Xeon E5-1630 v4,server,4.29,4 / 8,2016,140 W,Intel
946,Intel Xeon E-2224G,server,4.28,4 / 4,2019,71 W,Intel
947,Intel Xeon E3-1276 v3,server,4.28,4 / 8,2014,84 W,Intel
948,Intel Xeon E5-2450,server,4.27,8 / 16,2012,95 W,Intel
949,Intel Core i7-7700T,desktop,4.27,4 / 8,2017,35 W,Intel
950,Intel Xeon E3-1271 v3,server,4.26,4 / 8,2014,80 W,Intel
951,Intel Xeon E5-2630 v2,server,4.25,6 / 12,2013,80 W,Intel
952,Intel Xeon E3-1535M v5,mobile workstation,4.24,4 / 8,2015,45 W,Intel
953,Intel Xeon E5-2440 v2,server,4.24,8 / 16,2013,95 W,Intel
954,Intel Core i7-7820EQ,notebook,4.24,4 / 8,2017,45 W,Intel
955,Intel Core i5-8279U,notebook,4.23,4 / 8,2019,28 W,Intel
956,Intel Xeon E5-2637 v4,server,4.23,4 / 8,2016,135 W,Intel
957,Intel Core i5-8400H,notebook,4.23,4 / 8,2018,45 W,Intel
958,Intel Xeon E5-2608L v4,workstation,4.22,8 / 16,2016,50 W,Intel
959,Intel Xeon D-1537,server,4.22,8 / 16,2015,35 W,Intel
960,Intel Xeon E5-2667,server,4.22,6 / 12,2012,130 W,Intel
961,Intel Xeon E3-1505M v6,mobile workstation,4.22,4 / 8,2017,1 W,Intel
962,Intel Core i5-9300H,notebook,4.22,4 / 8,2019,1 W,Intel
963,Intel Core i5-8257U,notebook,4.21,4 / 8,2019,1 W,Intel
964,Intel Core i5-8400T,desktop,4.21,6 / 6,2018,35 W,Intel
965,Intel Xeon E5-1630 v3,server,4.21,4 / 8,2014,140 W,Intel
966,Intel Core i7-7820HK,notebook,4.19,4 / 8,2017,45 W,Intel
967,Intel Core i7-8706G,notebook,4.19,4 / 8,2018,65 W,Intel
968,Intel Core i5-8300H,notebook,4.18,4 / 8,2018,45 W,Intel
969,Intel Core i3-9320,desktop,4.17,4 / 4,2019,62 W,Intel
970,Intel Xeon E5-2650,server,4.17,8 / 16,2012,95 W,Intel
971,Intel Xeon E5-1620 v4,server,4.16,4 / 8,2016,140 W,Intel
972,Intel Xeon E3-1565L v5,server,4.15,4 / 8,2016,35 W,Intel
973,Intel Core i7-7920HQ,notebook,4.15,4 / 8,2017,45 W,Intel
974,Intel Core i5-8260U,notebook,4.15,4 / 8,2019,1 W,Intel
975,Intel Core i7-8557U,notebook,4.14,4 / 8,2019,1 W,Intel
976,Intel Xeon Phi 7210,server,4.14,64 / 256,2016,215 W,Intel
977,Intel Core i3-10100T,desktop,4.14,4 / 8,2020,35 W,Intel
978,Intel Core i7-6920HQ,notebook,4.12,4 / 8,2015,1 W,Intel
979,Intel Core i7-4790,desktop,4.12,4 / 8,2014,84 W,Intel
980,Intel Core i5-9300HF,notebook,4.11,4 / 8,2019,1 W,Intel
981,Intel Processor 300,desktop,4.11,2 / 4,2024,46 W,Intel
982,Intel Xeon E3-1280 v3,server,4.11,4 / 8,2013,82 W,Intel
983,Intel Core 3 N350,notebook,4.11,8 / 8,2025,7 W,Intel
984,Intel Xeon E5-2637 v3,server,4.11,4 / 8,2014,135 W,Intel
985,Intel Xeon E3-1270 v3,server,4.10,4 / 8,2013,80 W,Intel
986,Intel Xeon E7530,server,4.10,,2010,105 W,Intel
987,Intel Xeon E5-4610 v3,server,4.10,10 / 20,2015,105 W,Intel
988,Intel Xeon E3-1246 v3,server,4.10,4 / 8,2014,84 W,Intel
989,Intel Xeon E3-1275 v3,server,4.09,4 / 8,2013,84 W,Intel
990,Intel Xeon E-2124G,server,4.09,4 / 4,2018,72 W,Intel
991,Intel Xeon E3-1285 v3,server,4.09,4 / 8,2013,84 W,Intel
992,Intel Xeon E-2224,server,4.09,4 / 4,2019,71 W,Intel
993,Intel Core i7-7820HQ,notebook,4.07,4 / 8,2017,45 W,Intel
994,Intel Xeon W3690,server,4.07,6 / 12,2011,130 W,Intel
995,Intel Core i5-1035G1,notebook,4.07,4 / 8,2019,25 W,Intel
996,Intel Xeon E3-1241 v3,server,4.06,4 / 8,2014,80 W,Intel
997,Intel Core i7-4770K,desktop,4.05,4 / 8,2013,84 W,Intel
998,Intel Core i7-4771,desktop,4.05,4 / 8,2013,84 W,Intel
999,Intel Core i7-990X,desktop,4.05,6 / 12,2011,130 W,Intel
1000,Intel Core i5-8269U,notebook,4.03,4 / 8,2018,28 W,Intel
1001,Intel Core i3-9300,desktop,4.03,4 / 4,2019,62 W,Intel
1002,Intel Core i7-6770HQ,notebook,4.02,4 / 8,2016,1 W,Intel
1003,Intel Core i5-7640X,desktop,4.00,4 / 4,2017,112 W,Intel
1004,Intel Core i7-4770,desktop,4.00,4 / 8,2013,84 W,Intel
1005,Intel Core i7-5850EQ,notebook,3.99,4 / 8,2015,47 W,Intel
1006,Intel Xeon E3-1245 v3,server,3.99,4 / 8,2013,84 W,Intel
1007,Intel Core i7-6820HK,notebook,3.99,4 / 8,2015,1 W,Intel
1008,Intel Xeon E3-1231 v3,server,3.99,4 / 8,2014,80 W,Intel
1009,Intel Xeon X5690,server,3.99,6 / 12,2011,130 W,Intel
1010,Intel Core i7-6820EQ,desktop,3.98,4 / 8,2015,45 W,Intel
1011,Intel Xeon W3680,server,3.98,6 / 12,2010,130 W,Intel
1012,Intel Xeon E5-4640,server,3.98,8 / 16,2012,95 W,Intel
1013,Intel Xeon E3-1240 v3,server,3.97,4 / 8,2013,80 W,Intel
1014,Intel Core i7-6700T,desktop,3.97,4 / 8,2015,35 W,Intel
1015,Intel Xeon E3-1505M v5,mobile workstation,3.97,4 / 8,2015,45 W,Intel
1016,Intel Xeon E5-4607,server,3.96,6 / 12,2012,95 W,Intel
1017,Intel Xeon E5-4607 v2,server,3.96,6 / 12,2014,95 W,Intel
1018,Intel Core i7-4790S,desktop,3.95,4 / 8,2014,65 W,Intel
1019,Intel Xeon E5-1620 v3,server,3.95,4 / 8,2014,140 W,Intel
1020,Intel Xeon E3-1265L v4,server,3.94,4 / 8,2015,35 W,Intel
1021,Intel Xeon E3-1286L v3,server,3.93,4 / 8,2014,65 W,Intel
1022,Intel Xeon E-2124,server,3.92,4 / 4,2018,72 W,Intel
1023,Intel Core i3-8350K,desktop,3.92,4 / 4,2017,91 W,Intel
1024,Intel Xeon X5680,server,3.92,6 / 12,2010,130 W,Intel
1025,Intel Core i7-980,desktop,3.91,6 / 12,2011,130 W,Intel
1026,Intel Core i7-7700HQ,notebook,3.90,4 / 8,2017,45 W,Intel
1027,Intel Xeon E3-1285L v3,server,3.90,4 / 8,2013,65 W,Intel
1028,Intel Xeon E5-2623 v4,server,3.89,4 / 8,2016,85 W,Intel
1029,Intel Core i7-5850HQ,desktop,3.89,4 / 8,2015,47 W,Intel
1030,Intel Xeon E5-2430 v2,server,3.89,6 / 12,2013,80 W,Intel
1031,Intel Xeon E3-1230 v3,server,3.88,4 / 8,2013,80 W,Intel
1032,Intel Xeon D-1528,server,3.87,6 / 12,2015,35 W,Intel
1033,Intel Core i7-980X,desktop,3.87,6 / 12,2010,130 W,Intel
1034,Intel Core i5-7600K,desktop,3.86,4 / 4,2017,91 W,Intel
1035,Intel Core i5-8305G,notebook,3.86,4 / 8,2018,65 W,Intel
1036,Intel Core i7-4940MX,notebook,3.85,4 / 8,2014,57 W,Intel
1037,Intel Xeon E5-2448L,server,3.84,8 / 16,2012,70 W,Intel
1038,Intel Core i7-6820HQ,notebook,3.83,4 / 8,2015,1 W,Intel
1039,Intel Core i7-4770S,desktop,3.83,4 / 8,2013,65 W,Intel
1040,Intel Pentium Gold G7400,desktop,3.80,2 / 4,2022,46 W,Intel
1041,Intel Core i3-9100F,desktop,3.80,4 / 4,2019,65 W,Intel
1042,Intel Atom x7835RE,notebook,3.80,8 / 8,2024,12 W,Intel
1043,Intel Xeon D-2123IT,server,3.79,4 / 8,2018,60 W,Intel
1044,Intel Xeon E5-2623 v3,server,3.77,4 / 8,2014,105 W,Intel
1045,Intel Xeon E3-1275 v2,server,3.77,4 / 8,2012,77 W,Intel
1046,Intel Xeon E5-2630L v2,server,3.77,6 / 12,2013,60 W,Intel
1047,Intel Xeon E5-4620,server,3.76,8 / 16,2012,130 W,Intel
1048,Intel Core i7-990X EE,desktop,3.76,6 / 12,−,1.5 W,Intel
1049,Intel Xeon E3-1280 v2,server,3.75,4 / 8,2012,69 W,Intel
1050,Intel Core i7-10610U,notebook,3.73,4 / 8,2020,25 W,Intel
1051,Intel Core i3-9100,desktop,3.73,4 / 4,2018,65 W,Intel
1052,Intel Core i5-7600,desktop,3.72,4 / 4,2017,65 W,Intel
1053,Intel Core i7-4770R,desktop,3.72,4 / 8,2013,65 W,Intel
1054,Intel Xeon E3-1240L v5,server,3.71,4 / 8,2015,25 W,Intel
1055,Intel Core i7-970,desktop,3.71,6 / 12,2010,130 W,Intel
1056,Intel Xeon E7340,server,3.71,,2007,80 W,Intel
1057,Intel Core i7-1060NG7,notebook,3.71,4 / 8,2020,2 W,Intel
1058,Intel Core i7-4980HQ,notebook,3.71,4 / 8,2013,47 W,Intel
1059,Intel Core i3-9100E,desktop,3.71,4 / 4,2018,65 W,Intel
1060,Intel Core i7-4950HQ,notebook,3.71,4 / 8,2013,47 W,Intel
1061,Intel Xeon Silver 4112,server,3.71,4 / 8,2017,85 W,Intel
1062,Intel Xeon E5-1620 v2,server,3.70,4 / 8,2013,130 W,Intel
1063,Intel Core i7-6700HQ,notebook,3.70,4 / 8,2015,1 W,Intel
1064,Intel Core i7-4820K,desktop,3.69,4 / 8,2013,130 W,Intel
1065,Intel Xeon E3-1270 v2,server,3.68,4 / 8,2012,69 W,Intel
1066,Intel Pentium 8500,notebook,3.68,5 / 6,2022,9 W,Intel
1067,Intel Core i7-3770K,desktop,3.68,4 / 8,2012,77 W,Intel
1068,Intel Xeon E5-2637 v2,server,3.68,4 / 8,2013,130 W,Intel
1069,Intel Xeon E7330,server,3.68,,2007,80 W,Intel
1070,Intel Xeon E5-4610,server,3.66,6 / 12,2012,130 W,Intel
1071,Intel Xeon W3670,server,3.64,6 / 12,2010,130 W,Intel
1072,Intel Core i7-3770,desktop,3.64,4 / 8,2012,0 W,Intel
1073,Intel Xeon X5675,server,3.64,6 / 12,2011,95 W,Intel
1074,Intel Xeon E5-2608L V3,server,3.64,6 / 6,2014,52 W,Intel
1075,Intel Core i7-10510U,notebook,3.63,4 / 8,2019,25 W,Intel
1076,Intel Core i7-4930MX,notebook,3.62,4 / 8,2013,57 W,Intel
1077,Intel Xeon E3-1240 v2,server,3.62,4 / 8,2012,69 W,Intel
1078,Intel Core i7-4960HQ,notebook,3.61,4 / 8,2013,47 W,Intel
1079,Intel Core i3-8300,desktop,3.61,4 / 4,2018,62 W,Intel
1080,Intel Core i5-7500,desktop,3.61,4 / 4,2017,65 W,Intel
1081,Intel Xeon E3-1245 v2,server,3.60,4 / 8,2012,77 W,Intel
1082,Intel Xeon E3-1290 v2,server,3.60,4 / 8,2012,87 W,Intel
1083,Intel Xeon E5-2420 v2,server,3.60,6 / 12,2013,80 W,Intel
1084,Intel Xeon E3-1268L v5,server,3.59,4 / 8,2015,35 W,Intel
1085,Intel Xeon E3-1275L v3,server,3.59,4 / 8,2014,45 W,Intel
1086,Intel Core i7-4790T,desktop,3.59,4 / 8,2014,45 W,Intel
1087,Intel Core i3-9300T,desktop,3.59,4 / 4,2019,35 W,Intel
1088,Intel Core i7-4870HQ,notebook,3.58,4 / 8,2014,47 W,Intel
1089,Intel Xeon E5-2640,server,3.58,6 / 12,2012,95 W,Intel
1090,Intel Core i5-6600K,desktop,3.57,4 / 4,2015,91 W,Intel
1091,Intel Core i7-4760HQ,notebook,3.57,4 / 8,2014,47 W,Intel
1092,Intel Xeon E5-4617,server,3.57,6 / 12,2012,130 W,Intel
1093,Intel Core i7-4910MQ,notebook,3.57,4 / 8,2014,47 W,Intel
1094,Intel Xeon E5-1428L,server,3.55,6 / 12,2012,60 W,Intel
1095,Intel Xeon E5-1428L V2,server,3.55,6 / 12,2014,60 W,Intel
1096,Intel Xeon E5-2620 v2,server,3.54,6 / 12,2013,80 W,Intel
1097,Intel Xeon E5-2658,server,3.53,8 / 16,2012,95 W,Intel
1098,Intel Xeon D-1622,server,3.52,4 / 8,2019,40 W,Intel
1099,Intel Core i7-4860HQ,notebook,3.52,4 / 8,2014,47 W,Intel
1100,Intel Core i7-8665U,notebook,3.52,4 / 8,2018,15 W,Intel
1101,Intel Core i7-6700TE,desktop,3.52,4 / 8,2015,35 W,Intel
1102,Intel Core i7-8650U,notebook,3.51,4 / 8,2017,15 W,Intel
1103,Intel Xeon E3-1230 v2,server,3.51,4 / 8,2012,69 W,Intel
1104,Intel Xeon E5-2430L v2,server,3.51,6 / 12,2014,60 W,Intel
1105,Intel Xeon E3-1265L v3,server,3.51,4 / 8,2013,45 W,Intel
1106,Intel Core i7-3770S,desktop,3.50,4 / 8,2012,65 W,Intel
1107,Intel Xeon X5670,server,3.49,6 / 12,2010,95 W,Intel
1108,Intel Core i5-8250U,notebook,3.49,4 / 8,2017,15 W,Intel
1109,Intel Core i7-4900MQ,notebook,3.49,4 / 8,2013,47 W,Intel
1110,Intel Core i7-4850HQ,notebook,3.48,4 / 8,2013,47 W,Intel
1111,Intel Pentium Gold G7400E,desktop,3.48,2 / 4,2022,46 W,Intel
1112,Intel Core i7-8550U,notebook,3.47,4 / 8,2017,15 W,Intel
1113,Intel Core i5-8350U,notebook,3.46,4 / 8,2017,15 W,Intel
1114,Intel Core i7-980X EE,desktop,3.46,6 / 12,−,1.5 W,Intel
1115,Intel Xeon E5-2440,server,3.45,6 / 12,2012,95 W,Intel
1116,Intel Processor 300T,desktop,3.45,2 / 4,2024,35 W,Intel
1117,Intel Xeon E5-2630,server,3.45,6 / 12,2012,95 W,Intel
1118,Intel Core i7-4810MQ,notebook,3.44,4 / 8,2014,47 W,Intel
1119,Intel Core i3-8100,desktop,3.44,4 / 4,2017,62 W,Intel
1120,Intel Core i5-10210U,notebook,3.44,4 / 8,2019,25 W,Intel
1121,Intel Core i5-6600,desktop,3.43,4 / 4,2015,35 W,Intel
1122,Intel Xeon E5-2650L,server,3.43,8 / 16,2012,70 W,Intel
1123,Intel Xeon E5-2450L,server,3.43,8 / 16,2012,70 W,Intel
1124,Intel Core i7-5700HQ,desktop,3.42,4 / 8,2015,47 W,Intel
1125,Intel Core i7-4770HQ,notebook,3.42,4 / 8,2014,47 W,Intel
1126,Intel Xeon X5660,server,3.39,6 / 12,2010,95 W,Intel
1127,Intel Core i7-8565U,notebook,3.39,4 / 8,2018,15 W,Intel
1128,Intel Xeon Gold 6348H,server,3.38,24 / 48,2021,165 W,Intel
1129,Intel Core i7-3940XM,notebook,3.38,4 / 8,2012,55 W,Intel
1130,Intel Xeon E3-1225 v5,server,3.37,4 / 4,2015,80 W,Intel
1131,Intel Pentium Gold 8500,notebook,3.37,5 / 6,2022,29 W,Intel
1132,Intel Core i5-8365U,notebook,3.37,4 / 8,2019,15 W,Intel
1133,Intel Core i3-8100B,notebook,3.36,4 / 4,−,65 W,Intel
1134,Intel Xeon E3-1515M v5,mobile workstation,3.36,4 / 8,2016,45 W,Intel
1135,Intel Core i7-3840QM,notebook,3.34,4 / 8,2012,45 W,Intel
1136,Intel Xeon E3-1505L v6,server,3.34,4 / 8,2017,25 W,Intel
1137,Intel Core i3-1115G4,notebook,3.32,2 / 4,2020,15 W,Intel
1138,Intel Xeon E-2104G,server,3.32,4 / 4,2018,65 W,Intel
1139,Intel Core i5-10310U,notebook,3.32,4 / 8,2020,1 W,Intel
1140,Intel Core i7-4770T,desktop,3.32,4 / 8,2013,45 W,Intel
1141,Intel Xeon E5-1620,server,3.32,4 / 8,2012,130 W,Intel
1142,Intel Core i5-7600T,desktop,3.30,4 / 4,2017,35 W,Intel
1143,Intel Core i5-8265U,notebook,3.30,4 / 8,2018,15 W,Intel
1144,Intel Atom C3955,server,3.29,16 / 16,2017,32 W,Intel
1145,Intel Core i7-4710MQ,notebook,3.28,4 / 8,2013,47 W,Intel
1146,Intel Core i7-3820,desktop,3.28,4 / 8,2012,130 W,Intel
1147,Intel Core i7-4800MQ,notebook,3.27,4 / 8,2013,47 W,Intel
1148,Intel Core i7-4722HQ,notebook,3.27,4 / 8,2015,1 W,Intel
1149,Intel Xeon E5-2430,server,3.26,6 / 12,2012,95 W,Intel
1150,Intel Xeon Bronze 3106,server,3.26,8 / 8,2017,85 W,Intel
1151,Intel Xeon X5650,server,3.26,6 / 12,2010,95 W,Intel
1152,Intel Xeon E3-1225 v6,server,3.26,4 / 4,2017,73 W,Intel
1153,Intel Core i7-4720HQ,notebook,3.24,4 / 8,2015,1 W,Intel
1154,Intel Xeon E5-1410 v2,server,3.24,4 / 8,2014,80 W,Intel
1155,Intel Core i7-3920XM,notebook,3.24,4 / 8,2012,55 W,Intel
1156,Intel Xeon E3-1220 v5,server,3.24,4 / 4,2015,80 W,Intel
1157,Intel Core i7-3740QM,notebook,3.24,4 / 8,2012,45 W,Intel
1158,Intel Core i5-7440EQ,desktop,3.24,4 / 4,2017,45 W,Intel
1159,Intel Xeon D-1521,server,3.23,4 / 8,2015,45 W,Intel
1160,Intel Core i5-5675C,desktop,3.23,4 / 4,2015,65 W,Intel
1161,Intel Core i7-2700K,desktop,3.23,4 / 8,2011,95 W,Intel
1162,Intel Core i5-4690K,desktop,3.23,4 / 4,2014,88 W,Intel
1163,Intel Xeon E3-1205 v6,server,3.22,4 / 8,2017,65 W,Intel
1164,Intel Xeon E3-1240L v3,server,3.22,4 / 8,2014,25 W,Intel
1165,Intel Atom C3808,server,3.22,12 / 12,2017,25 W,Intel
1166,Intel Xeon E5649,server,3.21,6 / 12,2011,80 W,Intel
1167,Intel Core i7-4750HQ,notebook,3.19,4 / 8,2013,47 W,Intel
1168,Intel Core i7-3615QE,notebook,3.19,4 / 8,2012,45 W,Intel
1169,Intel Xeon E3-1280,server,3.18,4 / 8,2011,95 W,Intel
1170,Intel Core i7-3820QM,notebook,3.18,4 / 8,2012,45 W,Intel
1171,Intel Core i5-6500,desktop,3.18,4 / 4,2015,65 W,Intel
1172,Intel Core i5-1030NG7,notebook,3.18,4 / 8,2020,10 W,Intel
1173,Intel Core i3-9100T,desktop,3.17,4 / 4,2018,35 W,Intel
1174,Intel Core i7-3720QM,notebook,3.17,4 / 8,2012,45 W,Intel
1175,Intel Xeon E3-1220 v6,server,3.17,4 / 4,2017,72 W,Intel
1176,Intel Core i5-4670K,desktop,3.17,4 / 4,2013,84 W,Intel
1177,Intel Core i5-4690,desktop,3.17,4 / 4,2014,84 W,Intel
1178,Intel Core i7-4700HQ,notebook,3.16,4 / 8,2013,47 W,Intel
1179,Intel Core i5-6600T,desktop,3.16,4 / 4,2015,35 W,Intel
1180,Intel Core i5-5675R,desktop,3.16,4 / 4,2015,65 W,Intel
1181,Intel Core i7-4710HQ,notebook,3.15,4 / 8,2014,47 W,Intel
1182,Intel Core i7-6822EQ,desktop,3.15,4 / 8,2015,25 W,Intel
1183,Intel Xeon W-2104,server,3.14,4 / 4,2017,120 W,Intel
1184,Intel Xeon E3-1226 v3,server,3.14,4 / 4,2014,84 W,Intel
1185,Intel Processor N97,notebook,3.13,4 / 4,2023,0 W,Intel
1186,Intel Core i7-4860EQ,notebook,3.12,4 / 8,2013,47 W,Intel
1187,Intel Xeon E3-1275,server,3.12,4 / 8,2011,95 W,Intel
1188,Intel Core i5-4670,desktop,3.11,4 / 4,2013,84 W,Intel
1189,Intel Processor N250,notebook,3.11,4 / 4,2025,6 W,Intel
1190,Intel Core i5-7440HQ,notebook,3.11,4 / 4,2017,45 W,Intel
1191,Intel Core i7-2600K,desktop,3.11,4 / 8,2011,95 W,Intel
1192,Intel Core i7-4785T,desktop,3.11,4 / 8,2013,35 W,Intel
1193,Intel Core i5-4690S,desktop,3.11,4 / 4,2014,65 W,Intel
1194,Intel Core i5-7400,desktop,3.11,4 / 4,2017,65 W,Intel
1195,Intel Core i5-8365UE,notebook,3.08,4 / 8,2019,15 W,Intel
1196,Intel Xeon E3-1290,server,3.08,4 / 8,2011,95 W,Intel
1197,Intel Atom x7425E,notebook,3.08,4 / 4,2023,12 W,Intel
1198,Intel N150,notebook,3.07,4 / 4,2025,−,Intel
1199,Intel Xeon E5-2609 v4,server,3.07,8 / 8,2016,85 W,Intel
1200,Intel Core i5-6400,desktop,3.07,4 / 4,2015,65 W,Intel
1201,Intel Core i7-4700EQ,notebook,3.07,4 / 8,2013,47 W,Intel
1202,Intel Core i7-4702HQ,notebook,3.07,4 / 8,2013,37 W,Intel
1203,Intel Core i7-3770T,desktop,3.06,4 / 8,2012,45 W,Intel
1204,Intel Xeon X5687,server,3.05,4 / 8,2011,130 W,Intel
1205,Intel Core i3-8300T,desktop,3.05,4 / 4,2018,35 W,Intel
1206,Intel Core i5-4590,desktop,3.05,4 / 4,2014,84 W,Intel
1207,Intel Xeon E3-1270,server,3.05,4 / 8,2011,80 W,Intel
1208,Intel Xeon E3-1240,server,3.04,4 / 8,2011,80 W,Intel
1209,Intel N100,notebook,3.04,4 / 4,2023,6 W,Intel
1210,Intel Core i7-4712HQ,notebook,3.03,4 / 8,2014,37 W,Intel
1211,Intel Core i7-4700MQ,notebook,3.03,4 / 8,2013,47 W,Intel
1212,Intel Core i7-2600,desktop,3.03,4 / 8,2011,95 W,Intel
1213,Intel Xeon E3-1245,server,3.03,4 / 8,2011,95 W,Intel
1214,Intel Core i5-6402P,desktop,3.03,4 / 4,2015,65 W,Intel
1215,Intel Core i7-1060G7,notebook,3.03,4 / 8,2019,12 W,Intel
1216,Intel Core i5-6440EQ,desktop,3.02,4 / 4,2015,45 W,Intel
1217,Intel Xeon E5-2620,server,3.02,6 / 12,2012,95 W,Intel
1218,Intel Xeon E3-1225 v3,server,3.02,4 / 4,2013,84 W,Intel
1219,Intel Core i7-4712MQ,notebook,3.02,4 / 8,2013,37 W,Intel
1220,Intel Xeon E5-2630L,server,3.01,6 / 12,2012,60 W,Intel
1221,Intel Xeon E5-2430L,server,3.01,6 / 12,2012,60 W,Intel
1222,Intel Xeon E3-1230L v3,server,3.00,4 / 8,2013,25 W,Intel
1223,Intel Pentium Gold G7400T,desktop,2.99,2 / 4,2022,35 W,Intel
1224,Intel Xeon E5-2648L,server,2.98,8 / 16,2012,70 W,Intel
1225,Intel Core i3-8100T,desktop,2.98,4 / 4,2018,35 W,Intel
1226,Intel Pentium Silver N6005,notebook,2.98,4 / 4,2021,10 W,Intel
1227,Intel Core i5-4670S,desktop,2.98,4 / 4,2013,65 W,Intel
1228,Intel Core i5-4570,desktop,2.97,4 / 4,2013,84 W,Intel
1229,Intel Core i7-3610QE,notebook,2.97,4 / 8,2012,45 W,Intel
1230,Intel Core i5-4670R,desktop,2.97,4 / 4,2013,65 W,Intel
1231,Intel Core i3-1115G4E,notebook,2.97,2 / 4,2020,15 W,Intel
1232,Intel Xeon E5-2643,server,2.96,4 / 8,2012,130 W,Intel
1233,Intel Atom x7405C,notebook,2.96,4 / 4,2024,12 W,Intel
1234,Intel Core i5-7500T,desktop,2.96,4 / 4,2017,35 W,Intel
1235,Intel Xeon E5-1607 v4,server,2.95,4 / 4,2016,140 W,Intel
1236,Intel Core i7-4702MQ,notebook,2.94,4 / 8,2013,37 W,Intel
1237,Intel Xeon E3-1220 v3,server,2.94,4 / 4,2013,80 W,Intel
